field,end,start,type,long
1,1,0,N,2
2,6,2,N,5
3,8,7,A,2
4,24,9,A,16
5,26,25,N,2
6,28,27,N,2
7,29,29,A,1
8,30,30,A,1
9,32,31,A,2
10,35,33,A,3
11,55,36,A,20
12,85,56,A,30
13,105,86,A,20
14,135,106,A,30
15,136,136,A,1
16,137,137,A,1
17,138,138,A,1
18,139,139,A,1
19,140,140,A,1
20,141,141,A,1
21,142,142,A,1
22,143,143,A,1
23,144,144,A,1
24,145,145,A,1
25,146,146,A,1
26,147,147,A,1
27,148,148,A,1
28,149,149,A,1
29,150,150,A,1
30,152,151,N,2
31,158,153,A,6
32,164,159,A,6
33,170,165,A,6
34,176,171,A,6
35,182,177,A,6
36,184,183,N,2
37,186,185,N,2
38,188,187,N,2
39,190,189,N,2
40,199,191,N,9
41,200,200,A,1
42,209,201,N,9
43,218,210,N,9
44,227,219,N,9
45,236,228,N,9
46,243,237,N,7
47,252,244,N,9
48,261,253,N,9
49,270,262,N,9
50,279,271,N,9
51,288,280,N,9
52,297,289,N,9
53,306,298,N,9
54,313,307,N,7
55,322,314,N,9
56,331,323,N,9
57,346,332,A,15
58,355,347,N,9
59,370,356,A,15
60,379,371,N,9
61,388,380,N,9
62,397,389,N,9
63,406,398,N,9
64,413,407,N,7
65,422,414,N,9
66,429,423,N,7
67,438,430,N,9
68,445,439,N,7
69,454,446,N,9
70,461,455,N,7
71,470,462,N,9
72,477,471,N,7
73,486,478,N,9
74,488,487,A,2
75,504,489,A,16
76,505,505,A,1
77,511,506,A,6
78,512,512,A,1
79,513,513,A,1
80,523,514,A,10
81,533,524,A,10
82,543,534,A,10
83,553,544,A,10
84,563,554,A,10
85,573,564,A,10
86,583,574,A,10
87,593,584,A,10
88,603,594,A,10
89,613,604,A,10
90,623,614,A,10
91,633,624,A,10
92,643,634,A,10
93,653,644,A,10
94,663,654,A,10
95,672,664,N,9
96,675,673,N,3
