id,name,code,category_id/id,struct_id/id,sequence,constitutive,constitutive_calculate,condition_select,amount_select,condition_python,amount_percentage_base,amount_python_compute,quantity,amount_percentage,amount_fix,appears_on_payslip,note,not_remunerate,benefit_calculate,affect_payslip,affect_percentage_days,affect_worked_days,constitutive_percentage,non_constitutive_percentage,non_const_percentage_up,non_constitutive_calculate,condition_holiday,apply_only_basic_salary,apply_other_rules,apply_in
__export__.hr_salary_rule_bits_33,HORA EXTRA DIURNA,60,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_01,22,is_const,,Always True,Python Code,1,,result = (contract.wage/240) * 1.25,1,,0,True,Se toma el valor de la hora ordinaria (sueldo / 240) y se multiplica por el 125.00%,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_34,HORA EXTRA NOCTURNA,65,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_01,23,is_const,,Always True,Python Code,1,,result = (contract.wage/240) * 1.75,1,,0,True,Se toma el valor de la hora ordinaria (sueldo / 240)  y se multiplica por el 175.00%,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_35,HORA EXTRA FESTIVA DIURNA,70,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_01,24,is_const,,Always True,Python Code,1,,result = (contract.wage/240) * 2.00,1,,0,True,Se toma el valor de la hora ordinaria (sueldo / 240) y se multiplica por el 200%,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_36,HORA EXTRA FESTIVA NOCTURNA,75,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_01,25,is_const,,Always True,Python Code,1,,result = (contract.wage/240) * 2.50,1,,0,True,Se toma el valor de la hora ordinaria (sueldo / 240) y se multiplica por el 250.00%.,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_01,INCAPACIDAD EMPRESA 66.67%,15,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,10,is_const,,Always True,code,1,,"wage_day = (contract.wage/30)
smlv = (contract.company_id.basic_salary/30)
result = wage_day * 2/3
if smlv > result:
    result = smlv",1,,0,True,"debe liquidar el sueldo al 66.67% apartir del 3 dia de la incapacidad, el pago no debe ser inferior al smlv (29260)",,,True,1,True,100,100,,,none,,,
__export__.hr_salary_rule_bits_02,GASTO DE INCAPACIDAD 100%,20,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,11,is_const,,Always True,percentage,1,contract.wage/30,,1,100,0,True,debe liquidar el sueldo por los 2 primeros dias de la incapacidad al 100%,,,True,1,True,100,100,,,none,,,
__export__.hr_salary_rule_bits_03,LICENCIA DE MATERNIDAD,25,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,12,is_const,,Always True,percentage,1,contract.wage/30,,1,100,0,True,debe liquidar al 100% el sueldo x los dias otorgados,,,True,1,True,100,100,,,none,,,
__export__.hr_salary_rule_bits_04,LICENCIA DE PATERNIDAD,27,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,13,is_const,,Always True,percentage,1,contract.wage/30,,1,100,0,True,debe liquidar al 100% el sueldo x los dias otorgados,,,True,1,True,100,100,,,none,,,
__export__.hr_salary_rule_bits_05,LICENCIA DE LUTO,280,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,14,is_const,,Always True,percentage,1,contract.wage/30,,1,100,0,True,debe liquidar al 100% el sueldo x los dias otorgados,,,True,1,True,100,100,,,none,,,
__export__.hr_salary_rule_bits_06,VACACIONES HÁBILES,145,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,15,is_const,,Always True,percentage,1,contract.wage/30,,1,100,6,True,(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones habiles (de lunes a sabado),,,True,-1,True,100,100,,,work_days,,,
__export__.hr_salary_rule_bits_07,VACACIONES FESTIVOS,146,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,16,is_const,,Always True,percentage,1,contract.wage/30,,1,100,7,True,(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones No habiles (domingos y festivos),,,True,-1,True,100,100,,,non_work_days,,,
__export__.hr_salary_rule_bits_08,LICENCIA NO REMUNERADA - SUELDO,3120,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_02,110,,,Always True,percentage,1,contract.wage/30,,1,-100,8,True,Se debe identificar los dias que se otorgaron con un valor de $0,True,,False,-1,True,100,100,,,none,,"PENS,SALU",
__export__.hr_salary_rule_bits_09,SANCIÓN PRIVADA,3121,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_02,111,,,Always True,percentage,1,contract.wage/30,,1,-100,9,True,Se debe identificar los dias que se otorgaron con un valor de $0,True,,False,-1,True,100,100,,,none,,,
__export__.hr_salary_rule_bits_40,SANCIÓN PÚBLICA,3122,bits_hr_payroll_news.category_novelty_02,bits_hr_payroll_news.structure_novelty_02,111,,,Always True,percentage,1,contract.wage/30,,1,-100,9,True,Se debe identificar los dias que se otorgaron con un valor de $0,True,,False,-1,True,100,100,,,none,,,
__export__.hr_salary_rule_bits_37,LICENCIA REMUNERA,26,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_02,13,is_const,,Always True,percentage,1,contract.wage/30,,1,100,0,True,debe liquidar al 100% el sueldo x los dias otorgados,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_26,RETRO. SALARIO INTEGRAL,4,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,17,,,Always True,Fixed Amount,1,,,1,,26,True,Debe calcular el retrocactivo sobre el nuevo sueldo integral,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_27,SUELDO RETROACTIVO,5,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,18,,,Always True,Fixed Amount,1,,,1,,27,True,Debe calcular el retrocactivo sobre el nuevo sueldo,,,True,,,100,100,,,none,,,
__export__.hr_salary_rule_bits_28,BONIFICACION MERA LIBERALIDAD,285,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.structure_novelty_03,19,non_const,,Always True,Fixed Amount,1,,,1,,28,True,$$ dado por Novedad ,,,True,,,100,100,,,none,,,
