id,l10n_co_dian_code
base.af,13
base.al,17
base.de,23
base.am,26
base.aw,27
base.ba,29
base.bf,31
base.ad,37
base.ao,40
base.ai,41
base.ag,43
base.sa,53
base.dz,59
base.ar,63
base.au,69
base.at,72
base.az,74
base.bs,77
base.bh,80
base.bd,81
base.bb,83
base.be,87
base.bz,88
base.bm,90
base.mm,93
base.bo,97
base.bw,101
base.br,105
base.bn,108
base.bg,111
base.bi,115
base.bt,119
base.cv,127
base.ky,137
base.kh,141
base.cm,145
base.ca,149
base.va,159
base.cc,165
base.co,169
base.km,173
base.cg,177
base.ck,183
base.kp,187
base.kr,190
base.ci,193
base.cr,196
base.hr,198
base.cu,199
base.td,203
base.cl,211
base.cn,215
base.tw,218
base.cy,221
base.bj,229
base.dk,232
base.dm,235
base.ec,239
base.eg,240
base.sv,242
base.er,243
base.ae,244
base.es,245
base.sk,246
base.si,247
base.us,249
base.ee,251
base.et,253
base.fo,259
base.ph,267
base.fi,271
base.fr,275
base.ga,281
base.gm,285
base.ge,287
base.gh,289
base.gi,293
base.gd,297
base.gr,301
base.gl,305
base.gp,309
base.gu,313
base.gt,317
base.gf,325
base.gn,329
base.gq,331
base.gw,334
base.gy,337
base.ht,341
base.hn,345
base.hk,351
base.hu,355
base.in,361
base.id,365
base.iq,369
base.ir,372
base.ie,375
base.is,379
base.il,383
base.it,386
base.jm,391
base.jp,399
base.jo,403
base.kz,406
base.ke,410
base.ki,411
base.kg,412
base.kw,413
base.la,420
base.ls,426
base.lv,429
base.lr,434
base.ly,438
base.li,440
base.lt,443
base.lu,445
base.mo,447
base.mk,448
base.mg,450
base.my,455
base.mw,458
base.mv,461
base.ml,464
base.mt,467
base.mp,469
base.mh,472
base.ma,474
base.mq,477
base.mu,485
base.mr,488
base.mx,493
base.fm,494
base.md,496
base.mn,497
base.mc,498
base.mz,505
base.na,507
base.nr,508
base.cx,511
base.np,517
base.ni,521
base.ng,528
base.nu,531
base.nf,535
base.no,538
base.nc,542
base.pg,545
base.nz,548
base.vu,551
base.om,556
base.nl,573
base.pk,576
base.pw,578
base.pa,580
base.py,586
base.pe,589
base.pn,593
base.pf,599
base.pl,603
base.pt,607
base.pr,611
base.qa,618
base.uk,628
base.cf,640
base.cz,644
base.do,647
base.re,660
base.zw,665
base.ro,670
base.rw,675
base.ru,676
base.sb,677
base.ws,687
base.as,690
base.kn,695
base.sm,697
base.pm,700
base.vc,705
base.lc,715
base.st,720
base.sn,728
base.sc,731
base.sl,735
base.sg,741
base.sy,744
base.so,748
base.lk,750
base.za,756
base.sd,759
base.se,764
base.ch,767
base.sr,770
base.sz,773
base.tj,774
base.th,776
base.tz,780
base.io,787
base.tg,800
base.tk,805
base.to,810
base.tt,815
base.tc,823
base.tm,825
base.tr,827
base.tv,828
base.ua,830
base.ug,833
base.uy,845
base.uz,847
base.ve,850
base.vn,855
base.vg,863
base.vi,866
base.fj,870
base.wf,875
base.ye,880
base.zm,890
base.bq,47
base.cw,47
base.me,885
base.sx,47
base.mf,47
base.rs,885
