id,l10n_co_divipola,name,code,country_id/id,state_id/id,l10n_co_dian_code
town_co_01,5001,MEDELLÍN,5001,base.co,base.state_co_01,001
town_co_02,5002,ABEJORRAL,5002,base.co,base.state_co_01,002
town_co_03,5004,ABRIAQUÍ,5004,base.co,base.state_co_01,004
town_co_04,5021,ALEJANDRÍA,5021,base.co,base.state_co_01,021
town_co_05,5030,AMAGÁ,5030,base.co,base.state_co_01,030
town_co_06,5031,AMALFI,5031,base.co,base.state_co_01,031
town_co_07,5034,ANDES,5034,base.co,base.state_co_01,034
town_co_08,5036,ANGELÓPOLIS,5036,base.co,base.state_co_01,036
town_co_09,5038,ANGOSTURA,5038,base.co,base.state_co_01,038
town_co_10,5040,ANORÍ,5040,base.co,base.state_co_01,040
town_co_11,5042,SANTA FÉ DE ANTIOQUIA,5042,base.co,base.state_co_01,042
town_co_12,5044,ANZÁ,5044,base.co,base.state_co_01,044
town_co_13,5045,APARTADÓ,5045,base.co,base.state_co_01,045
town_co_14,5051,ARBOLETES,5051,base.co,base.state_co_01,051
town_co_15,5055,ARGELIA,5055,base.co,base.state_co_01,055
town_co_16,5059,ARMENIA,5059,base.co,base.state_co_01,059
town_co_17,5079,BARBOSA,5079,base.co,base.state_co_01,079
town_co_18,5086,BELMIRA,5086,base.co,base.state_co_01,086
town_co_19,5088,BELLO,5088,base.co,base.state_co_01,088
town_co_20,5091,BETANIA,5091,base.co,base.state_co_01,091
town_co_21,5093,BETULIA,5093,base.co,base.state_co_01,093
town_co_22,5101,CIUDAD BOLÍVAR,5101,base.co,base.state_co_01,101
town_co_23,5107,BRICEÑO,5107,base.co,base.state_co_01,107
town_co_24,5113,BURITICÁ,5113,base.co,base.state_co_01,113
town_co_25,5120,CÁCERES,5120,base.co,base.state_co_01,120
town_co_26,5125,CAICEDO,5125,base.co,base.state_co_01,125
town_co_27,5129,CALDAS,5129,base.co,base.state_co_01,129
town_co_28,5134,CAMPAMENTO,5134,base.co,base.state_co_01,134
town_co_29,5138,CAÑASGORDAS,5138,base.co,base.state_co_01,138
town_co_30,5142,CARACOLÍ,5142,base.co,base.state_co_01,142
town_co_31,5145,CARAMANTA,5145,base.co,base.state_co_01,145
town_co_32,5147,CAREPA,5147,base.co,base.state_co_01,147
town_co_33,5148,EL CARMEN DE VIBORAL,5148,base.co,base.state_co_01,148
town_co_34,5150,CAROLINA,5150,base.co,base.state_co_01,150
town_co_35,5154,CAUCASIA,5154,base.co,base.state_co_01,154
town_co_36,5172,CHIGORODÓ,5172,base.co,base.state_co_01,172
town_co_37,5190,CISNEROS,5190,base.co,base.state_co_01,190
town_co_38,5197,COCORNÁ,5197,base.co,base.state_co_01,197
town_co_39,5206,CONCEPCIÓN,5206,base.co,base.state_co_01,206
town_co_40,5209,CONCORDIA,5209,base.co,base.state_co_01,209
town_co_41,5212,COPACABANA,5212,base.co,base.state_co_01,212
town_co_42,5234,DABEIBA,5234,base.co,base.state_co_01,234
town_co_43,5237,DONMATÍAS,5237,base.co,base.state_co_01,237
town_co_44,5240,EBÉJICO,5240,base.co,base.state_co_01,240
town_co_45,5250,EL BAGRE,5250,base.co,base.state_co_01,250
town_co_46,5264,ENTRERRÍOS,5264,base.co,base.state_co_01,264
town_co_47,5266,ENVIGADO,5266,base.co,base.state_co_01,266
town_co_48,5282,FREDONIA,5282,base.co,base.state_co_01,282
town_co_49,5284,FRONTINO,5284,base.co,base.state_co_01,284
town_co_50,5306,GIRALDO,5306,base.co,base.state_co_01,306
town_co_51,5308,GIRARDOTA,5308,base.co,base.state_co_01,308
town_co_52,5310,GÓMEZ PLATA,5310,base.co,base.state_co_01,310
town_co_53,5313,GRANADA,5313,base.co,base.state_co_01,313
town_co_54,5315,GUADALUPE,5315,base.co,base.state_co_01,315
town_co_55,5318,GUARNE,5318,base.co,base.state_co_01,318
town_co_56,5321,GUATAPÉ,5321,base.co,base.state_co_01,321
town_co_57,5347,HELICONIA,5347,base.co,base.state_co_01,347
town_co_58,5353,HISPANIA,5353,base.co,base.state_co_01,353
town_co_59,5360,ITAGÜÍ,5360,base.co,base.state_co_01,360
town_co_60,5361,ITUANGO,5361,base.co,base.state_co_01,361
town_co_61,5364,JARDÍN,5364,base.co,base.state_co_01,364
town_co_62,5368,JERICÓ,5368,base.co,base.state_co_01,368
town_co_63,5376,LA CEJA,5376,base.co,base.state_co_01,376
town_co_64,5380,LA ESTRELLA,5380,base.co,base.state_co_01,380
town_co_65,5390,LA PINTADA,5390,base.co,base.state_co_01,390
town_co_66,5400,LA UNIÓN,5400,base.co,base.state_co_01,400
town_co_67,5411,LIBORINA,5411,base.co,base.state_co_01,411
town_co_68,5425,MACEO,5425,base.co,base.state_co_01,425
town_co_69,5440,MARINILLA,5440,base.co,base.state_co_01,440
town_co_70,5467,MONTEBELLO,5467,base.co,base.state_co_01,467
town_co_71,5475,MURINDÓ,5475,base.co,base.state_co_01,475
town_co_72,5480,MUTATÁ,5480,base.co,base.state_co_01,480
town_co_73,5483,NARIÑO,5483,base.co,base.state_co_01,483
town_co_74,5490,NECOCLÍ,5490,base.co,base.state_co_01,490
town_co_75,5495,NECHÍ,5495,base.co,base.state_co_01,495
town_co_76,5501,OLAYA,5501,base.co,base.state_co_01,501
town_co_77,5541,PEÑOL,5541,base.co,base.state_co_01,541
town_co_78,5543,PEQUE,5543,base.co,base.state_co_01,543
town_co_79,5576,PUEBLORRICO,5576,base.co,base.state_co_01,576
town_co_80,5579,PUERTO BERRÍO,5579,base.co,base.state_co_01,579
town_co_81,5585,PUERTO NARE,5585,base.co,base.state_co_01,585
town_co_82,5591,PUERTO TRIUNFO,5591,base.co,base.state_co_01,591
town_co_83,5604,REMEDIOS,5604,base.co,base.state_co_01,604
town_co_84,5607,RETIRO,5607,base.co,base.state_co_01,607
town_co_85,5615,RIONEGRO,5615,base.co,base.state_co_01,615
town_co_86,5628,SABANALARGA,5628,base.co,base.state_co_01,628
town_co_87,5631,SABANETA,5631,base.co,base.state_co_01,631
town_co_88,5642,SALGAR,5642,base.co,base.state_co_01,642
town_co_89,5647,SAN ANDRÉS DE CUERQUÍA,5647,base.co,base.state_co_01,647
town_co_90,5649,SAN CARLOS,5649,base.co,base.state_co_01,649
town_co_91,5652,SAN FRANCISCO,5652,base.co,base.state_co_01,652
town_co_92,5656,SAN JERÓNIMO,5656,base.co,base.state_co_01,656
town_co_93,5658,SAN JOSÉ DE LA MONTAÑA,5658,base.co,base.state_co_01,658
town_co_94,5659,SAN JUAN DE URABÁ,5659,base.co,base.state_co_01,659
town_co_95,5660,SAN LUIS,5660,base.co,base.state_co_01,660
town_co_96,5664,SAN PEDRO DE LOS MILAGROS,5664,base.co,base.state_co_01,664
town_co_97,5665,SAN PEDRO DE URABÁ,5665,base.co,base.state_co_01,665
town_co_98,5667,SAN RAFAEL,5667,base.co,base.state_co_01,667
town_co_99,5670,SAN ROQUE,5670,base.co,base.state_co_01,670
town_co_100,5674,SAN VICENTE FERRER,5674,base.co,base.state_co_01,674
town_co_101,5679,SANTA BÁRBARA,5679,base.co,base.state_co_01,679
town_co_102,5686,SANTA ROSA DE OSOS,5686,base.co,base.state_co_01,686
town_co_103,5690,SANTO DOMINGO,5690,base.co,base.state_co_01,690
town_co_104,5697,EL SANTUARIO,5697,base.co,base.state_co_01,697
town_co_105,5736,SEGOVIA,5736,base.co,base.state_co_01,736
town_co_106,5756,SONSÓN,5756,base.co,base.state_co_01,756
town_co_107,5761,SOPETRÁN,5761,base.co,base.state_co_01,761
town_co_108,5789,TÁMESIS,5789,base.co,base.state_co_01,789
town_co_109,5790,TARAZÁ,5790,base.co,base.state_co_01,790
town_co_110,5792,TARSO,5792,base.co,base.state_co_01,792
town_co_111,5809,TITIRIBÍ,5809,base.co,base.state_co_01,809
