id,name,code,category_id/id,struct_id/id,sequence,constitutive,constitutive_calculate,condition_select,amount_select,condition_python,amount_percentage_base,amount_python_compute,quantity,amount_percentage,amount_fix,appears_on_payslip,note,not_remunerate,benefit_calculate,affect_payslip,affect_percentage_days,affect_worked_days,constitutive_percentage,non_constitutive_percentage,non_const_percentage_up,non_constitutive_calculate,condition_holiday,apply_only_basic_salary,apply_other_rules,apply_in
__export__.hr_payroll_settlement_01,SALARIO BÁSICO,BASIC,hr_payroll.BASIC,hr_payroll_structure_settlement_without_just_cause_normal,1,is_const,,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = False 
else:
    result = True",contract.wage/30,100,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,1,True,sueldo / 30 X  los dias laborados,,none,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_02,AUXILIO NO PRESTACIONAL ALIMENTACION,237,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_without_just_cause_normal,2,non_const,,Always True,percentage,1,contract.searchSalaryAid('237'),,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,28,True,En el mes se debe cancelar el total del auxilio a menos que tenga licencia no remunerada o suspension de trabajo ,,non_rem_work_days,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_03,AUXILIO NO PRESTACIONAL RODAMIENTO,239,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_without_just_cause_normal,3,non_const,,Always True,percentage,1,contract.searchSalaryAid('239'),,worked_days.WORK100 and worked_days.WORK100.number_of_days,100,28,True,En el mes se debe cancelar el total del auxilio a menos que tenga licencia no remunerada o suspension de trabajo ,,non_rem_work_days,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_04,SUBSIDIO DE TRANSPORTE,120,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_without_just_cause_normal,26,none,,python,fix,result = contract.wage < (contract.company_id.basic_salary) * 2,,,worked_days.WORK100 and worked_days.WORK100.number_of_days,,3428.46,True,Auxilio por los dias laborados. Se cancela a las personas que devenguen hasta 2 smlv (1755606),,none,True,,,100,100,,,none,,,
__export__.hr_payroll_settlement_05,PRIMA LEGAL SEMESTRE 1,130,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_without_just_cause_normal,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month <= month and payslip.date_to.month <= month)","indemnities.compute_settlement_legal_premium('120',codes=['60','65','70','75','321'], period=1)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,,
__export__.hr_payroll_settlement_06,PRIMA LEGAL SEMESTRE 2,130,bits_hr_payroll_news.category_novelty_01,hr_payroll_structure_settlement_without_just_cause_normal,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month > month and payslip.date_to.month > month)","indemnities.compute_settlement_legal_premium('120',codes=['60','65','70','75','321'], period=2)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,,
__export__.hr_payroll_settlement_07,APORTE FONDO SOLIDARIDAD,3023,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_settlement_without_just_cause_normal,170,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = False 
else:
    result = True",4 * (contract.company_id.basic_salary),,0,-1,28,True,si el total pagos contitutivos de salario superan 4 smlv se debe aplicar el  1% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,100,40,True,none,,,
__export__.hr_payroll_settlement_08,APORTE SALUD,3010,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_settlement_without_just_cause_normal,180,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = False 
else:
    result = True",payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,100,40,True,none,,,
__export__.hr_payroll_settlement_09,APORTE PENSION,3020,bits_hr_payroll_news.category_novelty_02,hr_payroll_structure_settlement_without_just_cause_normal,180,none,True,python,percentage,"paid_payslips = payslip.env['hr.payslip'].search([
    ('state', '=', 'done'),
    ('contract_id', '=', payslip.contract_id.id),
    ('employee_id', '=', employee.id),
    ('date_from', '<=', payslip.date_to),
    ('date_to', '>', payslip.date_from),
])
if paid_payslips:
    result = False 
else:
    result = True",payslip.paid_amount,,1,-4,28,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,,,True,,,100,100,40,True,none,,,
__export__.hr_payroll_settlement_10,CESANTIAS DEFINITIVAS  ANUAL,185,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_structure_settlement_without_just_cause_normal,185,,,Always True,percentage,1,"indemnities.compute_settlement_severance_pay('WORK100',codes=['60','65','70','75','321'])",,1,100,,,(Suma de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el año)/360 . Si en ultimo trimestre hay cambio de salario se debe tomar el promedio del año. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,,
